,Customers,Deal_price,Mobile_name,Mobile_rating,Retail_price,Group
0,2503,29990,Samsung Galaxy A8+ (Black 6GB RAM 64GB Storage) with Offers,4.2,34000,1
1,1165,52990,Samsung Galaxy Note 8 (Midnight Black 6GB RAM 64GB Storage) with Offers,4.4,74690,0
2,747,16990,Samsung Galaxy J8 (Black 4GB RAM 64GB Storage) with Offers,4.1,19990,1
3,746,16990,Samsung Galaxy J8 (Blue 4GB RAM 64GB Storage) with Offers,4.1,19990,1
4,2508,29990,Samsung Galaxy A8+ (Gold 6GB RAM 64GB Storage) with Offers,4.2,34000,1
5,746,16990,Samsung Galaxy J8 (Gold 4GB RAM 64GB Storage) with Offers,4.1,19990,1
6,577,21990,Samsung Galaxy A6 Plus (Blue 4GB RAM 64GB Storage) with Offers,4.1,25600,1
7,50,61900,Samsung Galaxy S9 Plus (Coral Blue 6GB RAM 64GB Storage) with Offers,4.1,70000,2
8,577,21990,Samsung Galaxy A6 Plus (Black 4GB RAM 64GB Storage) with Offers,4.1,25600,1
9,120,34990,Samsung Galaxy A8 Star (Black 6GB RAM 64GB Storage),4.3,38000,1
10,178,67900,Samsung Galaxy Note 9 (Ocean Blue 6GB RAM 128GB Storage) with Offers,4.5,73600,2
11,54,69900,Samsung Galaxy S9 Plus (Midnight Black 6GB RAM 256GB Storage) with Offers,4.1,79000,2
12,174,67900,Samsung Galaxy Note 9 (Midnight Black 6GB RAM 128GB Storage) with Offers,4.5,73600,2
13,50,61900,Samsung Galaxy S9+ (Burgundy Red 6GB RAM 64GB Storage),4.1,70000,2
14,124,16990,Samsung Galaxy A6 (Black 4GB RAM 64GB Storage) with Offers,3.9,25500,1
15,53,61900,Samsung Galaxy S9 Plus (Midnight Black 6GB RAM 64GB Storage) with Offer,4.1,70000,2
16,577,21990,Samsung Galaxy A6 Plus (Gold 4GB RAM 64GB Storage) with Offers,4.1,25600,1
17,119,34990,Samsung Galaxy A8 Star (White 6GB RAM 64GB Storage),4.3,38000,1
18,178,67900,Samsung Galaxy Note 9 (Metallic Copper 6GB RAM 128GB Storage) with Offers,4.5,73600,2
19,175,84900,Samsung Galaxy Note 9 (Ocean Blue 8GB RAM 512GB Storage) with Offers,4.5,93000,2
20,0,41779,Samsung Galaxy S8 Plus Coral Blue (4GB64GB),0.0,69000,0
21,176,67900,Samsung Galaxy Note 9 SM-N960FZPDINS (Lavendar Purple 128GB),4.5,73600,2
22,5,41149,Samsung Galaxy S8 Plus (Orchid Gray 64 GB) (4 GB RAM),5.0,69000,0
23,0,15300,(CERTIFIED REFURBISHED) Samsung Galaxy J8 (Black 64GB) with Offers,0.0,19990,1
24,0,15300,(CERTIFIED REFURBISHED) Samsung Galaxy J8 (Blue 64GB) with Offers,0.0,19990,1
25,175,84900,Samsung Galaxy Note 9 (Metallic Copper 8GB RAM 512GB Storage),4.5,93000,2
26,1170,49900,Samsung Galaxy Note 8 (Orchid Grey 64GB) Without Offer,4.4,73000,0
27,641,18900,Samsung Galaxy J7 Pro (Gold 64GB),3.6,22300,1
28,1,22440,(CERTIFIED REFURBISHED) Samsung Galaxy A8+ (Black 6GB RAM + 64GB Memory),1.0,41900,1
29,24,26999,(Certified REFURBISHED) Samsung Galaxy S7 Edge SM-G930F (Black Onyx 32GB),1.5,46999,1
30,10,16999,(Certified REFURBISHED) Samsung Galaxy A9 Pro (Gold 32GB),2.5,16999,1
31,11,20999,(Certified REFURBISHED) Samsung Galaxy Note Edge (Black),2.3,39999,1
32,9,22499,(Certified REFURBISHED) Samsung Galaxy Note 5 N920G (Gold 32GB),3.5,28999,1
33,1715,25184,Samsung Galaxy C7 Pro (Gold 64GB),3.9,26600,1
34,1,22500,(CERTIFIED REFURBISHED) Samsung Galaxy A8+ (Gold 6GB RAM + 64GB Memory),1.0,41900,1
35,21,18493,(Certified REFURBISHED) Samsung Galaxy C7 Pro SM-C701F (Navy Blue 64GB),2.7,29900,1
36,208,22699,Samsung A7 2016 Dual Sim SM-A710FZKFINS - Black,3.8,29990,1
37,3,18499,(Certified REFURBISHED) Samsung Galaxy C7 Pro SM-C701F (Gold 64GB),3.6,29900,1
38,163,16250,Samsung Galaxy A5 SM-A510FZDFINS (Gold 16GB),3.8,16250,1
39,351,18999,Samsung Galaxy Grand 2 (White 8GB),3.9,18999,1
40,270,30900,Samsung Galaxy C9 Pro (Gold 6GB RAM),3.5,31900,1
41,0,20999,(Certified REFURBISHED) Samsung Galaxy C9 Pro C900 (Gold),0.0,29999,1
42,270,31500,Samsung Galaxy C9 Pro (Black 6GB RAM),3.5,34000,1
43,0,15300,(CERTIFIED REFURBISHED) Samsung Galaxy J8 (Gold 64GB) with Offers,0.0,19990,1
44,3,45000,(Certified REFURBISHED) Samsung Galaxy Note 8 (Midnight Black),3.2,74000,0
45,1,22499,(Certified REFURBISHED) Samsung Galaxy S6 Edge SM-G925 (Black 32GB),5.0,28999,1
46,127,39990,Samsung Galaxy Note Edge (Black),3.5,68500,0
47,3,22499,(Certified REFURBISHED) Samsung Galaxy S6 Edge SM-G925 (Gold 32GB),3.3,28999,1
48,3,22499,(Certified REFURBISHED) Samsung Galaxy S6 Edge SM-G925 (Gold 32GB),3.3,28999,1
49,445,15990,Samsung Galaxy E7 (White 16GB),4.2,24000,1
50,0,16840,(Certified REFURBISHED) Samsung Galaxy A9 Pro SM-A910F/DS (Gold),0.0,25999,1
51,4,17999,(Certified REFURBISHED) Samsung Galaxy S6 SM-G920 (Gold 32GB),2.2,29999,1
52,3,18990,(Certified REFURBISHED) Samsung Galaxy S7 SM-G930 (Gold Platinum 32GB),3.5,49990,1
53,0,61110,(CERTIFIED REFURBISHED) Samsung Galaxy Note 9 (Ocean Blue 128GB Memory) with Offer,0.0,73600,2
54,0,22499,(CERTIFIED REFURBISHED) Samsung Galaxy Note 5 (White 32GB),0.0,35999,1
55,0,15999,(Certified REFURBISHED) Samsung Galaxy A7 2017 SM-A720FZKDINS (Gold Sand),0.0,29999,1
56,59,30900,Samsung Galaxy A9 Pro (Black),4.2,39900,1
57,30,41990,Samsung Galaxy Note 5 N920G (Silver Titanium 32GB),3.5,57000,0
58,7,21999,(Certified REFURBISHED) Samsung Galaxy Note 5 N920G (Black Sapphire 32GB),2.8,35999,1
59,0,17399,(Certified REFURBISHED) Samsung Galaxy A9 Pro SM-A910F/DS (Black),0.0,19999,1
60,0,55710,(CERTIFIED REFURBISHED) Samsung Galaxy S9 Plus (Coral Blue 6GB RAM 64GB Storage) with Offers,0.0,70000,0
61,0,26990,Samsung Galaxy A7 (Black 6GB RAM and 128GB Storage) with Offer,0.0,29900,1
62,0,55710,(CERTIFIED REFURBISHED) Samsung Galaxy S9 Plus (Midnight Black 6GB RAM 64GB Storage) with Offer,0.0,70000,0
63,0,26990,Samsung Galaxy A7 (Blue 6GB RAM and 128GB Storage) with Offer,0.0,29900,1
64,0,56900,(CERTIFIED REFURBISHED) Samsung Galaxy S9 Plus (Coral Blue 6GB RAM 128GB Storage) with Offers,0.0,74000,2
65,0,49999,(CERTIFIED REFURBISHED) Samsung Galaxy S9 (Coral Blue 4GB RAM 128GB Storage) with Offers,0.0,66000,0
66,0,19799,(CERTIFIED REFURBISHED) Samsung Galaxy A8 (Gold),0.0,29999,1
67,0,19791,(CERTIFIED REFURBISHED) Samsung Galaxy A6 Plus (Blue 4GB RAM 64GB Storage) with Offers,0.0,28000,1
68,0,18750,(CERTIFIED REFURBISHED) Samsung Galaxy A6 Plus (Black 4GB RAM 64GB Storage) with Offers,0.0,28000,1
69,0,61110,(CERTIFIED REFURBISHED) Samsung Galaxy Note 9 (Midnight Black 128GB Memory) with Offer,0.0,73600,2
70,1165,49000,Samsung Galaxy Note 8 (Maple Gold 64GB) Without Offer,4.4,73000,0
71,0,38799,(CERTIFIED REFURBISHED) Samsung Galaxy S8 Plus (64GB Midnight Black) (4GB RAM),0.0,59999,0
72,1,43900,Samsung Galaxy Note8 - USA Imported Single GSM Sim - Midnight Black,5.0,74000,0
73,0,24999,SAMSUNG Galaxy Mega Smartphone S 6.3 I 9200(White),0.0,24999,1
